Company_ID,Environmental_Score,Social_Score,Governance_Score,Overall_ESG_Score,Carbon_Emission_Reduction,Renewable_Energy_Adoption,Employee_Satisfaction,Board_Diversity,Regulatory_Compliance,Simulated_ESG_Impact_Score
1,49.963209507789,34.81063430708957,40.93645469887248,44.130149427404056,1.4399175656718555,39.363552027744205,64.8256954077822,3.879945472888746,72.02679239473956,83.05981637897852
2,96.05714451279329,63.35207579026865,39.75830392575999,73.50247428506506,6.108646585999725,47.34356593750214,17.238636210516624,18.677252823112934,68.72830044131277,105.63799650619983
3,78.5595153449124,89.83566687011266,92.50036644168293,83.49606014085012,5.203218595803181,85.45473932021804,87.23945633548149,83.12458050899426,9.575419866335766,142.87547861048847
4,67.89267873576293,78.5779909127649,39.96369598796049,65.89903330683299,-6.922001906124526,34.00043860598922,61.311623906924154,76.67683563383358,92.25724049058,111.93349049528724
5,32.48149123539492,84.52489182891598,41.75597809029048,53.73276298828867,-7.015010605170522,86.96496848121713,15.720388355695425,35.06426914571469,56.84722021568196,96.13025995222291
6,32.47956162689621,72.70266933685738,80.7518609934371,61.95402793490055,-4.6365126451017336,8.813443097669149,96.23380574812069,37.681062777421246,36.372552113568425,93.06901734298025
7,24.64668897345596,75.3821251614282,55.9791873960432,54.29808684970567,-2.778505473179256,77.67984372086308,51.83654633353206,53.35544335535795,75.65385834953067,105.57199751248112
8,89.29409166199481,87.93565212522554,82.1368445564145,82.15089376250438,-1.8308883718303477,84.75476330547363,7.289845187165501,0.02410046851345493,25.736545840163405,113.0025897805321
9,68.0892009394567,39.97344070873488,25.229292605150818,49.273906965715526,3.5939443366669046,18.181765283733874,62.68329044150672,24.124433603802785,69.35098370463204,81.99397414783954
10,76.64580622368364,59.15399709145124,59.005695493870746,61.63200333614637,-8.866391356683291,43.03465323722004,25.31989070128102,20.823180860821445,3.971120757224722,82.02946263383876
11,21.646759543664196,37.69675534556818,22.68908801466261,28.01342684285375,-9.306545915478672,16.54997746636556,80.36934518773025,25.048294674976347,83.9408037609272,62.259308190321406
12,97.59278817295954,99.01344063973175,25.01225627642836,77.8212108526338,-2.1617887411218195,70.66041289942177,81.78220735661907,80.59058425334413,44.81708470213185,132.95631577978315
13,86.59541126403374,95.52474717492906,92.51499626755287,89.26834107894828,3.9432738427596092,53.534776806165674,97.89473558546618,27.967385654644318,63.66929143579417,136.94526533378237
14,36.987128854262096,23.154144909480472,31.139629689407613,29.213294716898474,-6.131293140870349,63.5323346708321,50.186953102450374,19.152132205014816,22.123781980668365,60.589172471949816
15,34.54599737656805,76.44601380125508,62.593654582017365,57.43584191706694,2.8300896251250336,19.648696695621116,45.495687972773716,50.42634607930315,67.7073712658448,89.23640682514332
16,34.6723607882747,94.01986539325327,52.887648208056525,58.33830891165035,-4.803437241194011,21.17458620524195,75.34756054464806,86.56450363727319,77.22402758932766,100.81327027388714
17,44.33937943676302,34.44602761018668,47.78746610070741,44.0657184693502,7.721722176270326,4.149732550990636,13.247065634192657,24.134970383749987,47.321318688439874,57.845487409376915
18,61.98051453057903,65.43561844421035,91.9866676549818,69.73661303718939,7.91379888533233,32.20675351957297,54.69155137931242,7.853624279279869,61.77269240617943,104.24122708117274
19,54.55560149136926,93.23906380704335,21.74587174203916,55.57591286762226,-4.054255914373471,55.97446613336749,54.624760013085094,35.64047358496647,45.63259238223986,91.90655560455592
20,43.298331215843355,22.715678286863906,73.10317489404713,46.38321203509257,-5.400124920735189,85.79349139973289,8.947312281038721,74.76518245649778,89.40913692578455,98.41050159802394
21,68.94823157779035,75.7936213797472,97.07155473708403,76.23253204422574,-1.7739205586753748,66.69274474586807,41.798408550691356,55.06905446947946,49.78691805143192,118.60899543741849
22,31.15950885216335,43.78792058980406,64.81345467694736,43.32060821252623,-5.189368296397026,43.53963233997514,85.3284798567202,81.67933695743474,84.18087090288189,99.51862548987965
23,43.37157188281745,93.95169563012243,94.94579696264735,75.82261029655068,3.4476768658340724,95.31201143941378,85.61536219946603,95.9592147609234,80.13520582702486,148.5529383370921
24,49.308947463495336,97.68465961322943,24.1806303428819,58.28292900723602,6.5212936909657095,71.92452005758318,9.9237664919681,79.26624767516171,41.050482134835654,100.03026528856428
25,56.48559873736288,95.54131912907471,53.50346552593291,64.97542413307168,3.46184261822434,93.016520286255,9.072088274783086,60.38030788437534,23.008449185747505,108.00131357220471
26,82.81407691144109,57.9371373325971,40.81262327696409,62.34599512035458,6.487008944986989,52.75879732721657,26.26954770019353,49.33415880523805,40.6082132559771,97.50804957100954
27,35.97390257266878,88.96341207914507,78.46567719845838,69.58766038332591,-2.0601567558505174,25.89042747931396,87.47660625539935,4.006908634826667,82.62173757752201,107.81818184690115
28,61.13875507308893,87.56395188280563,98.50376723977973,81.14617097114805,-6.873660585822783,5.282668636472199,12.890258507349895,98.43219788140412,22.763253581939235,99.80080607585471
29,67.39316550896339,45.528037859460454,40.52240499553982,54.73747218995354,4.7590189479518425,72.60848514838504,71.99968026274462,38.348112257504255,52.44363458577494,108.47246261997553
30,23.71603301759982,86.3132379320542,72.33396811792596,59.10236004911678,-2.7905098971689224,12.130299800553413,10.116561961310321,15.222821391686681,80.60967479607474,78.13487009645561
31,68.60358815211507,22.96061077723941,35.847810620779214,41.429523077669,3.4254165045826497,30.277512827196716,62.31378537478254,66.67088553964568,35.34774751283788,78.0527960978178
32,33.64192989498332,67.70159027856424,65.22642036572879,52.64227228794581,-4.587121160364687,53.24709078838974,35.60672991191448,28.428828909545935,64.22096370026973,89.97904925614262
33,25.20412743882236,38.40070698301624,57.114598935066894,40.30994613698454,-8.375407303866547,56.441658777974766,78.8913962965867,58.57782709310476,24.56315740488145,83.00018568259094
34,95.91084298026666,29.645350862182305,97.76042637052296,69.19404556203281,9.851635909755267,60.0583196987136,23.36904488253636,58.67679078445912,10.927944536815993,106.29603375846904
35,97.25056264596475,26.156256130336732,68.68218181571733,63.003987918830205,-6.875969841388015,16.625533034970065,63.920182938995985,44.572982090286914,79.43842250928563,97.72782548494125
36,84.67178784931689,75.70310207025118,47.960509766945506,70.11811939070957,9.768419879269622,37.97374048216488,23.568253457588494,83.61186155450426,9.896862340870683,103.5212352666295
37,44.36910153386965,47.18999710144529,29.12766279103467,40.866244572757445,9.545598651328945,61.71942271169667,71.36602831121537,26.496706155544302,27.13813950795846,81.25434292695205
38,27.81376912051071,77.98134172230093,32.09974629879476,51.24760123513015,5.876362078160792,96.98188646337847,87.36780345607488,44.86325916177341,85.51094219974401,120.62384559854911
39,74.73864212097254,25.22850726391539,38.025354396098805,43.906798456622326,3.1884592416399506,72.76311376996887,12.680179912676003,53.76921285909715,34.64692870786672,83.5861895741894
40,55.21219949916811,45.223227026448825,40.07733290722384,48.11935242953625,1.5561410050216935,92.26037570939579,86.65956885955035,66.36247207672996,97.30453495141612,116.26095884026309
41,29.763058787582306,63.15930339002698,88.04928462729103,52.81694767848723,7.3220309075566945,76.2212058314177,59.35752544142979,78.39718505055895,97.97343347738597,113.34652953537629
42,59.614152808901615,83.25785318711709,64.89782306260199,73.91713095879955,-4.211209567610242,59.171696889240046,12.711049086702397,39.480728287825606,26.82760204535567,102.21261157172093
43,22.75108168921747,45.5002002345656,61.87127290994931,36.626356032546916,-0.6463757503024592,19.202336913634454,42.7541855359712,64.6046944096596,4.097822224989045,63.97042007515972
44,92.74563216630257,70.07131011496072,29.181509749537398,67.95459886775754,2.3877993873300376,66.66856518925131,16.08602934850979,15.061095306851913,70.50632842053791,103.02603717821172
45,40.70239852800135,90.87821985889497,88.8111754679548,72.66998007714854,-1.776190482610179,62.337956595990704,70.03478888665695,93.26481005424786,45.098650264834376,125.51436903829725
46,73.00178274831856,69.26905505458436,77.8251442566787,74.94671271287608,-1.45027091819464,60.24691704572665,75.88681344179497,38.305880642100355,10.07528439595763,112.34539244132687
47,44.93688608715288,38.6367579802907,25.413468952000127,37.07827333490225,-3.3943066499583114,48.978586798824075,10.579652027279895,72.95214219764384,70.75228189780428,74.14794724172839
48,61.605441694224865,21.952062524523043,76.62680777838149,49.94734218539557,1.2846363336907203,52.86566039892756,50.613985269464436,2.0341081882177647,3.1174909111921223,77.38742458321498
